"teamId","teamName","player","position","currentEvidenceRole","currentEstimateType","currentConfidenceScore","generalSearchUrl","dailyTelegraphSearchUrl","smhSearchUrl","clubContractSearchUrl"
"nzl","New Zealand Warriors","Marata Niukore","Interchange","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Marata%20Niukore%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Marata%20Niukore%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Marata%20Niukore%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Marata%20Niukore%22%20contract"
"nzl","New Zealand Warriors","Jacob Laban","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Jacob%20Laban%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Jacob%20Laban%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Jacob%20Laban%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Jacob%20Laban%22%20contract"
"nzl","New Zealand Warriors","Alofiana Khan-Pereira","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Alofiana%20Khan-Pereira%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Alofiana%20Khan-Pereira%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Alofiana%20Khan-Pereira%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Alofiana%20Khan-Pereira%22%20contract"
"nzl","New Zealand Warriors","Ali Leiataua","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Ali%20Leiataua%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Ali%20Leiataua%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Ali%20Leiataua%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Ali%20Leiataua%22%20contract"
"nzl","New Zealand Warriors","Demitric Vaimauga","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Demitric%20Vaimauga%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Demitric%20Vaimauga%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Demitric%20Vaimauga%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Demitric%20Vaimauga%22%20contract"
"nzl","New Zealand Warriors","Eddie Ieremia-Toeava","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Eddie%20Ieremia-Toeava%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Eddie%20Ieremia-Toeava%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Eddie%20Ieremia-Toeava%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Eddie%20Ieremia-Toeava%22%20contract"
"nzl","New Zealand Warriors","Haizyn Mellars","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Haizyn%20Mellars%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Haizyn%20Mellars%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Haizyn%20Mellars%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Haizyn%20Mellars%22%20contract"
"nzl","New Zealand Warriors","Jye Linnane","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Jye%20Linnane%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Jye%20Linnane%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Jye%20Linnane%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Jye%20Linnane%22%20contract"
"nzl","New Zealand Warriors","Kayliss Fatialofa","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Kayliss%20Fatialofa%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Kayliss%20Fatialofa%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Kayliss%20Fatialofa%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Kayliss%20Fatialofa%22%20contract"
"nzl","New Zealand Warriors","Sam Healey","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Sam%20Healey%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Sam%20Healey%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Sam%20Healey%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Sam%20Healey%22%20contract"
"nzl","New Zealand Warriors","Taine Tuaupiki","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Taine%20Tuaupiki%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Taine%20Tuaupiki%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Taine%20Tuaupiki%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Taine%20Tuaupiki%22%20contract"
"nzl","New Zealand Warriors","Tanner Stowers-Smith","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Tanner%20Stowers-Smith%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Tanner%20Stowers-Smith%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Tanner%20Stowers-Smith%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Tanner%20Stowers-Smith%22%20contract"
"nzl","New Zealand Warriors","Te Maire Martin","Unknown","bucket_unknown","unknown","22","https://www.google.com/search?q=%22Te%20Maire%20Martin%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Te%20Maire%20Martin%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Te%20Maire%20Martin%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Te%20Maire%20Martin%22%20contract"
"new","Newcastle Knights","Kalyn Ponga","Fullback","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Kalyn%20Ponga%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Kalyn%20Ponga%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Kalyn%20Ponga%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Kalyn%20Ponga%22%20contract"
"new","Newcastle Knights","Dominic Young","Winger","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Dominic%20Young%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Dominic%20Young%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Dominic%20Young%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Dominic%20Young%22%20contract"
"new","Newcastle Knights","Dane Gagai","Centre","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Dane%20Gagai%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Dane%20Gagai%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Dane%20Gagai%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Dane%20Gagai%22%20contract"
"new","Newcastle Knights","Bradman Best","Centre","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Bradman%20Best%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Bradman%20Best%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Bradman%20Best%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Bradman%20Best%22%20contract"
"new","Newcastle Knights","Greg Marzhew","Winger","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Greg%20Marzhew%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Greg%20Marzhew%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Greg%20Marzhew%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Greg%20Marzhew%22%20contract"
"new","Newcastle Knights","Fletcher Sharpe","Five-Eighth","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Fletcher%20Sharpe%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Fletcher%20Sharpe%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Fletcher%20Sharpe%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Fletcher%20Sharpe%22%20contract"
"new","Newcastle Knights","Dylan Brown","Halfback","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Dylan%20Brown%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Dylan%20Brown%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Dylan%20Brown%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Dylan%20Brown%22%20contract"
"new","Newcastle Knights","Jacob Saifiti","Prop","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Jacob%20Saifiti%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Jacob%20Saifiti%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Jacob%20Saifiti%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Jacob%20Saifiti%22%20contract"
"new","Newcastle Knights","Phoenix Crossland","Hooker","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Phoenix%20Crossland%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Phoenix%20Crossland%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Phoenix%20Crossland%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Phoenix%20Crossland%22%20contract"
"new","Newcastle Knights","Trey Mooney","Prop","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Trey%20Mooney%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Trey%20Mooney%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Trey%20Mooney%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Trey%20Mooney%22%20contract"
"new","Newcastle Knights","Dylan Lucas","2nd Row","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Dylan%20Lucas%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Dylan%20Lucas%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Dylan%20Lucas%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Dylan%20Lucas%22%20contract"
"new","Newcastle Knights","Jermaine McEwen","2nd Row","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Jermaine%20McEwen%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Jermaine%20McEwen%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Jermaine%20McEwen%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Jermaine%20McEwen%22%20contract"
"new","Newcastle Knights","Mathew Croker","Lock","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Mathew%20Croker%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Mathew%20Croker%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Mathew%20Croker%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Mathew%20Croker%22%20contract"
"new","Newcastle Knights","Sandon Smith","Interchange","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Sandon%20Smith%22%20%22Newcastle%20Knights%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Sandon%20Smith%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Sandon%20Smith%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Anewcastleknights.com.au%20%22Sandon%20Smith%22%20contract"
